"id"	"institute"	"town"	"socken"	"harad"	"diocese"	"shape"	"year"
"UMF1817"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"1729"
"UMF1818"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1819"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"1691, 1704"
"UMF1820"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, square"	"0"
"UMF1821"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"1367"
"UMF1822"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, heptagonal"	"1676, 1733"
"UMF1823"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"1687"
"UMF1824"	"Gustavianum"	"0"	"0"	"0"	"0"	"walking stick, round"	"1721"
"UMF1825"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"?1711"
"UMF1826"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"1691"
"UMF1827"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"1723"
"UMF1828"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1631"
"UMF1829"	"Gustavianum"	"?Roslagen"	"0"	"0"	"Uppsala"	"paddle"	"1678"
"UMF1830"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1591"
"UMF1831"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1694"
"UMF1832"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1561"
"UMF1833"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1633"
"UMF1834"	"Gustavianum"	"Dalarna"	"Rättvik"	""	"Dalarna"	"paddle"	"1616"
"UMF1835"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"1698"
"UMF1836"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"1680"
"UMF1837"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"1703"
"UMF1838"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1839"	"Gustavianum"	"0"	"0"	"0"	"0"	"axe"	"1714"
"UMF1840"	"Gustavianum"	"0"	"0"	"0"	"0"	"axe"	"0"
"UMF1841"	"Gustavianum"	"0"	"0"	"0"	"0"	"axe"	"0"
"UMF1842"	"Gustavianum"	"SL"	"0"	"0"	"0"	"sword"	"1595-1620"
"UMF1843"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1844"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1845"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"pre-1791"
"UMF1846"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1847"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1848"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1849"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"0"
"UMF1850"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1851"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1852"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1853"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1854"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1855"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword, heptagonal"	"0"
"UMF1856"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1857"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1858"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1859"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1860"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1861"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1863"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1864"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1865"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1866"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1867"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1868"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1869"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword sheath"	"0"
"UMF1870"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1871"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1872"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1873"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1874"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
